Combi,k_eff
"(6, 34)",24.771568455286022
"(0, 8, 52)",24.76742030708381
"(7, 14, 30)",24.765654762626337
"(7, 65)",24.759079642626418
"(0, 5, 7)",24.751103359627383
"(0, 7, 28)",24.751103359627383
"(0, 7, 45)",24.751103359627383
"(0, 7, 46)",24.751103359627383
"(0, 7, 56)",24.751103359627383
"(0, 7, 57)",24.751103359627383
"(0, 7, 62)",24.751103359627383
"(0, 7, 70)",24.751103359627383
"(0, 50, 61)",24.732855738654663
"(0, 17, 29)",24.72921388378076
"(0, 34, 39)",24.719300665911216
"(0, 24, 34)",24.71855756358514
"(6, 29, 35)",24.71629280780389
"(6, 14, 20)",24.710676507135407
"(0, 17, 55)",24.703609131113964
"(6, 13, 14)",24.696126985773287
"(0, 18, 38)",24.692398551488324
"(6, 35, 55)",24.690688055137095
"(0, 3)",24.683157284583757
"(0, 60, 66)",24.677506594582635
"(35, 60)",24.674034655247336
"(0, 26, 66)",24.671010735888657
"(26, 35)",24.66429086720637
"(0, 34, 44)",24.653818992039103
"(7, 8, 14)",24.650258594534233
"(0, 9, 54)",24.64649895837377
"(0, 30, 66)",24.643255856966395
"(0, 50, 53)",24.63655636215603
"(0, 17, 67)",24.63551658592467
"(0, 9, 63)",24.63196215070956
"(0, 38, 65)",24.626933370777913
"(0, 18, 43)",24.626599044280624
"(30, 35)",24.622658548822976
"(6, 35, 67)",24.6225955099478
"(14, 17, 35)",24.61413309897037
"(0, 12, 34)",24.595174744980774
"(0, 10)",24.595044354786793
"(0, 20, 50)",24.58478162754867
"(0, 13, 50)",24.57023210618655
"(7, 54)",24.56195614190425
"(0, 43, 65)",24.56113386357021
"(6, 14, 18)",24.546325013326406
"(7, 63)",24.54015093040794
"(0, 8, 66)",24.52785968887429
"(0, 15)",24.52710125186958
"(0, 2, 34)",24.522221574497912
"(7, 9, 35)",24.51770011246429
"(0, 32, 34)",24.502938376058424
"(6, 7, 16)",24.502715347087033
"(6, 7, 19)",24.5009002438616
"(0, 16, 19)",24.496867961431082
"(0, 38, 54)",24.4955177036298
"(6, 7, 21)",24.49424757492222
"(0, 16, 21)",24.490215292491698
"(0, 19, 21)",24.488400189266265
"(0, 38, 63)",24.48098089596559
"(6, 14, 65)",24.480859832615995
"(0, 1, 34)",24.474597758854635
"(0, 34, 71)",24.464111368526716
"(8, 35)",24.44956429668482
"(6, 7, 37)",24.442925138196603
"(0, 17, 33)",24.440212629988867
"(0, 16, 37)",24.438892855766085
"(0, 19, 37)",24.437077752540652
"(0, 21, 37)",24.430425083601268
"(0, 43, 54)",24.429718196422094
"(6, 33, 35)",24.427291554011994
"(0, 18, 50)",24.420430133739668
"(0, 43, 63)",24.415181388757887
"(4, 6, 7)",24.396404196421262
"(34, 35, 61)",24.381104774095114
"(7, 35, 38)",24.366718857720322
"(0, 50, 65)",24.354964953029256
"(0, 25, 34)",24.354409672672027
"(0, 17, 52)",24.350728108084855
"(6, 14, 54)",24.34944416546788
"(0, 9, 60)",24.340651263834065
"(6, 7, 29)",24.335726104368796
"(6, 14, 63)",24.334907357803672
"(0, 9, 26)",24.334155405140088
"(0, 39, 61)",24.332556547115825
"(0, 24, 61)",24.33181344478975
"(0, 16, 29)",24.331693821938277
"(0, 19, 29)",24.329878718712845
"(0, 21, 29)",24.32322604977346
"(6, 7, 55)",24.310121351702
"(0, 9, 30)",24.306400526217825
"(0, 16, 55)",24.306089069271486
"(0, 19, 55)",24.304273966046054
"(0, 48)",24.301216632460783
"(0, 21, 55)",24.297621297106666
"(34, 35, 53)",24.28480539759648
"(0, 51)",24.283066506912153
"(0, 64)",24.27199618263855
"(0, 29, 37)",24.271903613047847
"(0, 44, 61)",24.26707487324371
"(0, 37, 55)",24.246298860381053
"(6, 7, 67)",24.242028806512707
"(0, 16, 67)",24.237996524082188
"(0, 39, 53)",24.236257170617186
"(0, 19, 67)",24.236181420856756
"(0, 24, 53)",24.23551406829111
"(7, 14, 17)",24.233566395535277
"(20, 34, 35)",24.23303066298912
"(0, 21, 67)",24.22952875191737
"(0, 50, 54)",24.22354928588114
"(13, 34, 35)",24.218481141626995
"(14, 16, 35)",24.21661303712789
"(14, 19, 35)",24.214797933902457
"(0, 50, 63)",24.209012478216934
"(0, 12, 61)",24.208430626185383
"(14, 21, 35)",24.208145264963072
"(6, 61)",24.191452277092935
"(0, 8, 9)",24.19100435812572
"(0, 38, 60)",24.189670009090097
"(0, 20, 39)",24.18448243600983
"(0, 26, 38)",24.18317415039612
"(0, 37, 67)",24.17820631519176
"(0, 44, 53)",24.170775496745073
"(0, 13, 39)",24.16993291464771
"(0, 13, 24)",24.169189812321633
"(0, 34, 59)",24.16191334544573
"(14, 35, 37)",24.15682282823746
"(0, 30, 38)",24.155419271473857
"(0, 29, 55)",24.13909982655325
"(0, 2, 61)",24.13547745570252
"(0, 43, 60)",24.123870501882394
"(0, 20, 44)",24.119000762137716
"(0, 26, 43)",24.11737464318842
"(0, 32, 61)",24.116194257263032
"(0, 12, 53)",24.112131249686747
"(0, 17, 66)",24.111167489875335
"(4, 14, 35)",24.110301886462118
"(0, 13, 44)",24.104451240775596
"(7, 60)",24.103184600094696
"(7, 35, 50)",24.094750439971666
"(7, 26)",24.09344081205373
"(0, 30, 43)",24.089619764266153
"(0, 1, 61)",24.087853640059244
"(0, 61, 71)",24.077367249731324
"(0, 29, 67)",24.07100728136395
"(18, 34, 35)",24.06867916918012
"(0, 12, 20)",24.060356515079388
"(7, 30)",24.051808493670336
"(14, 29, 35)",24.04962379440965
"(6, 7, 33)",24.046724850576904
"(0, 12, 13)",24.045806993717264
"(0, 55, 67)",24.04540252869716
"(0, 34, 40)",24.044505844344705
"(6, 14, 60)",24.04359647092818
"(0, 16, 33)",24.042692568146386
"(0, 19, 33)",24.040877464920953
"(0, 8, 38)",24.040023103381753
"(0, 2, 53)",24.039178079203886
"(6, 14, 26)",24.037100612234198
"(0, 21, 33)",24.03422479598157
"(14, 35, 55)",24.02401904174286
"(6, 27, 34)",24.021868283445308
"(0, 18, 39)",24.02013094220083
"(0, 32, 53)",24.019894880764397
"(6, 14, 30)",24.00934573331194
"(34, 35, 65)",24.003213988469707
"(7, 34, 61)",24.00053807066002
"(0, 1, 53)",23.99155426356061
"(0, 2, 20)",23.987403344596526
"(0, 33, 37)",23.982902359255956
"(0, 53, 71)",23.98106787323269
"(0, 8, 43)",23.97422359617405
"(0, 2, 13)",23.972853823234402
"(6, 20)",23.969341110433945
"(0, 20, 32)",23.96812014615704
"(0, 25, 61)",23.967665553876635
"(6, 7, 52)",23.957240328672892
"(14, 35, 67)",23.955926496553563
"(0, 39, 65)",23.954665761490418
"(0, 18, 44)",23.954649268328716
"(0, 24, 65)",23.95392265916434
"(0, 13, 32)",23.95357062479492
"(0, 16, 52)",23.953208046242374
"(0, 19, 52)",23.95139294301694
"(6, 13)",23.94751682839076
"(0, 21, 52)",23.944740274077557
"(0, 1, 20)",23.93977952895325
"(0, 34, 41)",23.938165071255536
"(0, 20, 71)",23.929293138625333
"(0, 1, 13)",23.925230007591125
"(0, 50, 60)",23.91770159134144
"(0, 13, 71)",23.914743617263213
"(0, 26, 50)",23.911205732647463
"(7, 34, 53)",23.904238694161386
"(35, 53, 61)",23.898061278801087
"(0, 12, 18)",23.896005021270387
"(6, 8, 14)",23.893949565219835
"(0, 37, 52)",23.893417837351944
"(0, 44, 65)",23.889184087618304
"(0, 30, 50)",23.8834508537252
"(7, 8)",23.87871424153218
"(0, 29, 33)",23.875703325428148
"(34, 35, 54)",23.87179832132159
"(0, 25, 53)",23.871366177378
"(34, 35, 63)",23.857261513657384
"(7, 20, 34)",23.852463959554026
"(0, 33, 55)",23.850098572761354
"(20, 35, 61)",23.846286544193728
"(7, 13, 34)",23.837914438191902
"(7, 14, 16)",23.836046333692796
"(7, 14, 19)",23.834231230467363
"(13, 35, 61)",23.831737022831604
"(0, 12, 65)",23.830539840559975
"(7, 14, 21)",23.82757856152798
"(17, 35)",23.824525998186385
"(0, 39, 54)",23.823250094342306
"(0, 2, 18)",23.823051850787525
"(0, 24, 54)",23.82250699201623
