id,name,smiles,formula
167,SSR_Me_Kephos,C[C@H]1CC[C@H](C)P1c1c[cH-]cc1P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C28H30FeP2
168,SSRR-DuanPhos,CC(C)(C)P1Cc2ccccc2[C@H]1[C@@H]1c2ccccc2CP1C(C)(C)C,C24H32P2
169,SSRR-Tangphos,CC(C)(C)P1CCC[C@@H]1[C@H]1CCCP1C(C)(C)C,C16H32P2
171,SSSS_Me_KetalPhos,C[C@H]1[C@H]2OC(C)(C)O[C@@H]2[C@H](C)P1c1ccccc1P1[C@@H](C)[C@H]2OC(C)(C)O[C@@H]2[C@@H]1C,C24H36O4P2
175,DPPF,[Fe+2].c1ccc(P(c2ccccc2)c2cc[cH-]c2)cc1.c1ccc(P(c2ccccc2)c2cc[cH-]c2)cc1,C34H28FeP2
177,DPPE,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,C26H24P2
178,DPPB,c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,C28H28P2
179,CF3-DPPBZ,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,C38H16F24P2
180,R-CF3-DTBM-Segphos,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)ccc4c2OCO4)OCO3)cc1C(C)(C)C,C60H60F12O6P2
181,R-CF3-Garphos,COc1cc(OC)c(-c2c(OC)cc(OC)cc2P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,C48H28F24O4P2
